Epoch, South, Bus, temp
1444030808, 140.374565217391, 110.899726027397, 32.0
1444031108, 140.408913043478, 110.872465753425, 32.0
1444031408, 140.41152173913, 110.880547945205, 31.5
1444031708, 140.423586956522, 110.802328767123, 32.0
1444032008, 140.442934782609, 110.757945205479, 31.5
1444032308, 140.402934782609, 110.80397260274, 31.5
1444032608, 140.426739130435, 110.779589041096, 31.5
1444032908, 140.426630434783, 110.799452054795, 31.5
1444033208, 140.450869565217, 110.736164383562, 31.5
1444033508, 140.403152173913, 110.692602739726, 31.5
1444033808, 140.429782608696, 110.622328767123, 31.5
1444034108, 140.382934782609, 110.581780821918, 30.9
1444034408, 140.4025, 110.482054794521, 31.5
1444034708, 140.422065217391, 110.472054794521, 31.5
1444035008, 140.374130434783, 110.396164383562, 30.9
1444035308, 140.492282608696, 110.446575342466, 31.5
1444035608, 140.423260869565, 110.420821917808, 31.5
1444035908, 140.513913043478, 110.353561643836, 31.5
1444036208, 140.43902173913, 110.368630136986, 30.9
1444036508, 140.394347826087, 110.305616438356, 31.5
1444036808, 140.429565217391, 110.233287671233, 31.5
1444037108, 140.454891304348, 110.189863013699, 30.9
1444037408, 140.398369565217, 110.142328767123, 30.9
1444037708, 140.449130434783, 110.083561643836, 30.4
1444038008, 140.46597826087, 110.101095890411, 30.9
1444038308, 140.434891304348, 110.067671232877, 30.9
1444038608, 140.42902173913, 110.103698630137, 30.4
1444038908, 140.441630434783, 110.023835616438, 30.4
1444039208, 140.441630434783, 109.952739726027, 30.9
1444039508, 140.469239130435, 109.928630136986, 30.9
1444039808, 140.461630434783, 109.844931506849, 30.9
1444040108, 140.458586956522, 109.945068493151, 30.4
1444040408, 140.418695652174, 109.817260273973, 30.9
1444040708, 140.469782608696, 109.817945205479, 30.4
1444041008, 140.467608695652, 109.793287671233, 30.4
1444041308, 140.500108695652, 109.675753424658, 30.4
1444041608, 140.511413043478, 109.602739726027, 30.4
1444041908, 140.526413043478, 109.628082191781, 30.4
1444042208, 140.504891304348, 109.575342465753, 30.4
1444042508, 140.498695652174, 109.496849315068, 30.4
1444042808, 140.553695652174, 109.578082191781, 30.4
1444043108, 140.470760869565, 109.495479452055, 30.4
1444043408, 140.578152173913, 109.487808219178, 30.4
1444043708, 140.592065217391, 109.462054794521, 30.4
1444044008, 140.547391304348, 109.397671232877, 29.9
1444044308, 140.528695652174, 109.359178082192, 29.9
1444044608, 140.519891304348, 109.311643835616, 29.9
1444044908, 140.531195652174, 109.28397260274, 30.4
1444045208, 140.558369565217, 109.267397260274, 29.9
1444045508, 140.578369565217, 109.223561643836, 29.9
1444045808, 140.521630434783, 109.215479452055, 30.4
1444046108, 140.582282608696, 109.022602739726, 29.9
1444046408, 140.549782608696, 108.942191780822, 29.9
1444046708, 140.606086956522, 109.078082191781, 29.3
1444047008, 140.577065217391, 109.054931506849, 29.9
1444047308, 140.614130434783, 109.159726027397, 29.9
1444047608, 140.623804347826, 109.086575342466, 29.9
1444047908, 140.5625, 108.942602739726, 29.9
1444048208, 140.615760869565, 108.893150684932, 29.9
1444048508, 140.551195652174, 108.95095890411, 29.9
1444048808, 140.594782608696, 108.970410958904, 29.3
1444049108, 140.609891304348, 108.957671232877, 29.9
1444049408, 140.608152173913, 108.956575342466, 29.3
1444049708, 140.60847826087, 108.915479452055, 29.3
1444050008, 140.638586956522, 108.929589041096, 29.3
1444050308, 140.680217391304, 108.781643835616, 29.3
1444050608, 140.68597826087, 108.797671232877, 29.9
1444050908, 140.666195652174, 108.936164383562, 29.3
1444051208, 140.593913043478, 108.874657534247, 29.9
1444051509, 140.710543478261, 108.840410958904, 29.9
1444051808, 140.684239130435, 108.91301369863, 29.3
1444052108, 140.638043478261, 108.880821917808, 29.3
1444052408, 140.674456521739, 108.912191780822, 29.3
1444052708, 140.676086956522, 108.89, 29.3
1444053008, 140.679891304348, 108.891095890411, 29.3
1444053308, 140.732173913043, 109.012876712329, 29.3
1444053608, 140.646739130435, 108.944246575342, 29.3
1444053908, 140.669891304348, 108.964657534247, 29.9
1444054208, 140.629130434783, 109.124246575342, 29.3
1444054508, 140.662391304348, 108.94602739726, 29.3
1444054808, 140.686413043478, 108.947671232877, 29.3
1444055108, 140.625543478261, 108.931232876712, 29.3
1444055408, 140.74402173913, 108.861917808219, 29.9
1444055708, 140.668913043478, 108.882054794521, 29.3
1444056008, 140.727608695652, 108.731643835616, 29.3
1444056308, 140.65402173913, 108.776438356164, 29.3
1444056608, 140.759891304348, 108.863835616438, 29.3
1444056908, 140.657826086957, 108.903287671233, 29.3
1444057208, 140.765326086957, 109.011506849315, 29.9
1444057508, 140.698260869565, 108.854520547945, 29.3
1444057808, 140.717065217391, 108.96, 29.9
1444058108, 140.709130434783, 108.916164383562, 29.9
1444058408, 140.736086956522, 108.986849315068, 30.4
1444058708, 140.755760869565, 108.950821917808, 29.9
1444059008, 140.753152173913, 109.101506849315, 30.4
1444059308, 140.834782608696, 109.085890410959, 31.5
1444059608, 140.812934782609, 109.082328767123, 30.4
1444059908, 140.892608695652, 108.98397260274, 31.5
1444060208, 140.841086956522, 108.925616438356, 31.5
1444060508, 140.879782608696, 108.883698630137, 31.5
1444060808, 140.811739130435, 108.862739726027, 31.5
1444061108, 140.873152173913, 108.752876712329, 31.5
1444061408, 140.750652173913, 108.853150684932, 31.5
1444061708, 140.767717391304, 108.77301369863, 32.0
1444062008, 140.759130434783, 108.865342465753, 32.0
1444062308, 140.677065217391, 108.816301369863, 32.6
1444062608, 140.646413043478, 108.831917808219, 32.0
1444062908, 140.573804347826, 108.791232876712, 32.6
1444063208, 140.599456521739, 108.806301369863, 32.6
1444063508, 140.5425, 108.854657534247, 33.1
1444063808, 140.503804347826, 108.877123287671, 32.6
1444064108, 140.526739130435, 109.041095890411, 33.6
1444064408, 140.490434782609, 109.156301369863, 33.6
1444064708, 140.491630434783, 109.229589041096, 33.6
1444065008, 140.502391304348, 109.26698630137, 34.2
1444065308, 140.349130434783, 109.392876712329, 34.7
1444065608, 140.367282608696, 109.517397260274, 34.7
1444065908, 140.284782608696, 109.560684931507, 34.7
1444066208, 140.310108695652, 109.706575342466, 34.7
1444066508, 140.231630434783, 109.871095890411, 34.7
1444066808, 140.172282608696, 109.997808219178, 34.7
1444067108, 140.138695652174, 110.042739726027, 35.8
1444067408, 140.167173913043, 110.09602739726, 35.8
1444067708, 140.115, 110.276712328767, 35.8
1444068008, 140.24347826087, 110.422191780822, 36.9
1444068308, 140.183695652174, 110.514931506849, 35.8
1444068608, 140.241956521739, 110.654246575342, 36.9
